,Data,Quantile,Duration,Type,Accuracy,Precision,Recall,F1 score,ndcg,k_ndcg,rmse,rmse_norm,avg_ndcg_loo,k_ndcg_loo,rmse_loo,rmse_normalized_loo,num_users_loo
0,TikTok Experiment,1.0,,all,0.37309160305343514,0.3476759486269651,0.3010968994575552,0.2873526022933051,0.8871809860693027,3,1.3324647673112522,0.8090229584644918,0.8071340084820692,10,1.3201712937553562,0.7879323028605573,80
1,TikTok Experiment,0.2,12.0,short,0.41732283464566927,0.26225836869401226,0.2534268707482993,0.21987694467694469,0.9089315001471481,3,1.1860266046292758,0.9474793498892191,0.8446923650151067,10,1.1794727940752379,0.9447340940451495,80
2,TikTok Experiment,0.2,12.0,long,0.31017964071856285,0.3389450891562726,0.27173481169954866,0.2508655285980504,0.8647296621138079,3,1.3436014984892946,0.8027938825032415,0.6946047334735967,10,1.356202443020629,0.8113136832617149,80
3,TikTok Experiment,0.25,13.0,short,0.41479099678456594,0.2796500630517024,0.23198754584624148,0.20403554381627842,0.907812135152909,3,1.414547037918709,1.151941756890035,0.8176252165037333,10,1.1817652466979471,0.9545745599246722,80
4,TikTok Experiment,0.25,13.0,long,0.3030690537084399,0.33607249480818213,0.2564723379869401,0.24281570935339883,0.8470536885927368,3,1.3424492822914735,0.8018612585631091,0.7013742318430142,10,1.366832332623156,0.8191408666595569,80
5,TikTok Experiment,0.5,39.0,short,0.3,0.22919813145950774,0.19636953975534402,0.16644543480644583,0.8821401794808131,3,1.3558759596905627,0.9324551899393984,0.8086810762974996,10,1.2966411875517008,0.9249777337595008,80
6,TikTok Experiment,0.5,39.0,long,0.32276119402985076,0.2872489411068548,0.2370191953821523,0.22644625402552443,0.8156260986957002,3,1.3883492623471225,0.9818213971988945,0.693158027920338,10,1.344097529048245,0.8737407258536897,80
7,TikTok Experiment,0.75,70.0,short,0.326007326007326,0.3901291025217117,0.29443243438523903,0.2846281126281126,0.8745282979521476,3,1.3455266535512251,0.8482878564316283,0.8075182940868693,10,1.3513419187542681,0.8561542029873286,80
8,TikTok Experiment,0.75,70.0,long,0.36231884057971014,0.24298737269174484,0.22866371079404393,0.20249146564936038,0.8341143372881156,3,1.330007601006455,1.0123754739547446,0.6385410234484603,10,1.2178742143669854,0.9338364654049571,80
9,TikTok Experiment,0.8,96.0,short,0.36768149882903983,0.31988007789507034,0.2746510572111179,0.2719850365504924,0.8465474327657518,3,1.4174535964446435,0.8645512014849847,0.807411512318619,10,1.3436416315303181,0.8352882435595722,80
10,TikTok Experiment,0.8,96.0,long,0.3395348837209302,0.2883771299331072,0.2288095238095238,0.21479763001906857,0.9087252913387425,3,1.3160752002786256,0.9687439719422509,0.6513929559725012,10,1.2165940473167138,0.9588508064071385,80
