,Data,Quantile,Duration,Type,Accuracy,Precision,Recall,F1 score,ndcg,k_ndcg,rmse,rmse_norm,avg_ndcg_loo,k_ndcg_loo,rmse_loo,rmse_normalized_loo,num_users_loo
0,TikTok Real-World,1.0,,all,0.37309160305343514,0.3476759486269651,0.3010968994575552,0.2873526022933051,0.8030797598147715,3,1.5466077051982086,0.9344424009770983,0.05509899424439909,10,1.5483815838399166,0.9504533296381085,334
1,TikTok Real-World,0.2,11.0,short,0.2670034978624174,0.3009134293497961,0.20125552445417857,0.14658123346484692,0.8328088374737022,3,1.406352421694668,0.966811487049427,0.0555283534308302,10,1.4018532778016015,0.9912520726373316,333
2,TikTok Real-World,0.2,11.0,long,0.16662154234917198,0.29230698541582134,0.20860092242489311,0.1377029855874641,0.7750504663153942,3,1.5863452850516782,0.9447881465584428,0.05138261270360032,10,1.589051734179156,0.9567430486110206,334
3,TikTok Real-World,0.25,12.0,short,0.26424991647176743,0.2910236188938209,0.20875224325713201,0.14683398544590429,0.8371520489322195,3,1.4162233882926036,0.9698894323694255,0.05573272299278491,10,1.408694451851566,0.9905136553523738,333
4,TikTok Real-World,0.25,12.0,long,0.16162094349894668,0.2941426931585757,0.20564917853749273,0.13512328785517116,0.7612500111900099,3,1.590302046112934,0.9426217364710994,0.053829445451708986,10,1.595608731941702,0.9574845704868773,334
5,TikTok Real-World,0.5,17.0,short,0.235861553615706,0.31226813506875783,0.2162845404869483,0.16100613005096107,0.8275962070482011,3,1.4417828204984164,0.94816931703058,0.05608254360965657,10,1.4373710882308415,0.9704395017117878,334
6,TikTok Real-World,0.5,17.0,long,0.1402319164667905,0.2848682463750996,0.1980702031863487,0.11966062784987551,0.7404715765445398,3,1.639663933599393,0.9495820871326909,0.05104451167927507,10,1.6585740186861286,0.9676485174332606,334
7,TikTok Real-World,0.75,33.0,short,0.20829208641472077,0.30781868623823666,0.21389988675794433,0.1523769756849718,0.8189241827856979,3,1.4908915702232286,0.9450866941748185,0.05546984040865842,10,1.4906615169270307,0.9645551590661244,334
8,TikTok Real-World,0.75,33.0,long,0.1305126404494382,0.27910669728548193,0.1905051716292647,0.10935013072962108,0.7022125962199276,3,1.6965178641245584,0.9692123224109395,0.04454523251947765,10,1.7113144271093363,0.9794992976408656,334
9,TikTok Real-World,0.8,41.0,short,0.20420223243598162,0.30748455787049306,0.21166891735005824,0.1523630972563761,0.8081951289641128,3,1.498498867463661,0.9427226744015816,0.05512502913114733,10,1.5013457418485443,0.9628072877110663,334
10,TikTok Real-World,0.8,41.0,long,0.12088580112896222,0.2669882534513886,0.18563234346406232,0.10076804001009808,0.6963498452253495,3,1.7072888816059646,0.970435410971189,0.03809357029790152,10,1.7223796994899436,0.9839023682883558,333
